"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"102",2,2.7,"unmitigated",102,64337.45,107559.5,280857.999999999,344.175,592,1409.075,64337.45,107559.5,280857.999999999,474.075,788.5,1854.15,71648,98433,135674.8,21728.95,26070,27037.4
"103",2,2.7,"unmitigated",103,56325.525,94064,249953.55,319.85,516,1280.65,56325.525,94064,249953.55,430.025,689,1690.475,64941.825,91222,131632.3,20752.95,25332,26993.525
"104",2,2.7,"unmitigated",104,48553.9,81932,222474.5,269.75,456.5,1151,48553.9,81932,222474.5,342.825,593.5,1535.975,58758.2,83910,128835.05,19401.9,24423.5,26818.25
"105",2,2.7,"unmitigated",105,42350.6,71195,196588.875,227.825,403.5,1020.65,42350.6,71195,196588.875,305.9,528,1379.875,52768.425,76913.5,128073.725,17966.025,23313,26551.575
"106",2,2.7,"unmitigated",106,36518.025,62315.5,173917.275,201.425,358,905.574999999998,36518.025,62315.5,173917.275,276.95,463.5,1157.9,47359.8,69998,122687.1,16644.175,22010.5,26264.4
"107",2,2.7,"unmitigated",107,31626.3,54124,152526.275,174.95,308,784.049999999998,31626.3,54124,152526.275,226.375,399.5,1087.725,42253.75,63469.5,116436.025,15250.9,20691,26544.45
"108",2,2.7,"unmitigated",108,27351.7,47012,134268.375,162.475,265.5,718.899999999999,27351.7,47012,134268.375,202.425,355.5,922.824999999998,37593.4,57288.5,109838.05,13825.225,19329.5,26423.925
"109",2,2.7,"unmitigated",109,23968.575,40796,117589.4,138.9,238,629.324999999999,23968.575,40796,117589.4,170.85,310,846.424999999998,33426.575,51532,102889.45,12516.375,17882,25788.525
"110",2,2.7,"unmitigated",110,20502.375,35145.5,102923.075,110.9,204.5,539.074999999999,20502.375,35145.5,102923.075,151.425,256.5,761.574999999998,29621.4,46228,95688.3999999999,11353.85,16490,24895.225
"111",2,2.7,"unmitigated",111,17757.325,30798.5,89972.7999999998,94.325,178,473.024999999999,17757.325,30798.5,89972.7999999998,132.475,233,622.574999999999,26209.35,41177,88513.6749999999,10124.25,15047,24012.05
"112",2,2.7,"unmitigated",112,15437.575,26528,78014.8749999998,91.425,150.5,437.499999999999,15437.575,26528,78014.8749999998,112.475,203,573.224999999999,23008.125,36630,81193.3999999999,8995.5,13675,23958.95
"113",2,2.7,"unmitigated",113,13381.95,22968.5,68074.3499999998,73.95,127,382.299999999999,13381.95,22968.5,68074.3499999998,108.9,178,508.324999999999,20236.575,32432,74154.3499999999,8025.725,12321,22889.875
"114",2,2.7,"unmitigated",114,11508.6,19865,59278.0999999999,62.425,110.5,314.074999999999,11508.6,19865,59278.0999999999,85,151.5,409.424999999999,17689.175,28623.5,67611.5749999999,7080,11013,21636.4
"115",2,2.7,"unmitigated",115,9932.85,17215,51565.1999999999,56,99.5,272.599999999999,9932.85,17215,51565.1999999999,75,128,389.749999999999,15496.95,25150.5,61304.2499999999,6279.7,9841.5,20233.75
"116",2,2.7,"unmitigated",116,8548.525,15009,44805.1249999999,48.425,86,250.924999999999,8548.525,15009,44805.1249999999,61.85,110.5,348.024999999999,13504.2,22082,55204.3249999999,5518.775,8758,18776.725
"117",2,2.7,"unmitigated",117,7452.2,12829,38466.9999999999,43,75,226.899999999999,7452.2,12829,38466.9999999999,54.475,98,295.825,11800.85,19409,49591.8499999999,4868.3,7805,17311.175
