"Income","HS","IFR","Mort"
"HIC","Infinite capacity",0.0112988457146902,6066
"HIC","Infinite capacity",0.0129537432658369,6973
"HIC","Infinite capacity",0.0128027085005905,6905
"HIC","Infinite capacity",0.00881308731300964,4709
"HIC","Infinite capacity",0.0133198759091661,7166
"HIC","Infinite capacity",0.00564986838591539,2962
"HIC","Infinite capacity",0.00701876223871761,3699
"HIC","Infinite capacity",0.00730679458128265,3863
"HIC","Infinite capacity",0.00686153449895458,3623
"HIC","Infinite capacity",0.0113307726223126,6065
"HIC","Infinite capacity",0.00814141989835492,4314
"HIC","Infinite capacity",0.00566881333856355,2977
"HIC","Infinite capacity",0.00883526829878444,4662
"HIC","Infinite capacity",0.0102796608895636,5471
"HIC","Infinite capacity",0.00358058121903991,1875
"HIC","Infinite capacity",0.00571681031691924,3002
"HIC","Infinite capacity",0.00792811640446563,4214
"HIC","Infinite capacity",0.00603594128675294,3168
"HIC","Infinite capacity",0.0134663258316208,7254
"HIC","Infinite capacity",0.00921584781306171,4922
"HIC","Infinite capacity",0.00952395250597241,5075
"HIC","Infinite capacity",0.012479148669983,6703
"HIC","Infinite capacity",0.00817336970969925,4335
"HIC","Infinite capacity",0.0140036833233082,7543
"HIC","Infinite capacity",0.00753493909871772,3987
"HIC","Infinite capacity",0.00450489192655325,2357
"HIC","Infinite capacity",0.00608732640485607,3177
"HIC","Infinite capacity",0.0101386333610838,5395
"HIC","Infinite capacity",0.0114115044082696,6117
"HIC","Infinite capacity",0.0124242819600022,6666
"HIC","Infinite capacity",0.00717965820355061,3789
"HIC","Infinite capacity",0.00866832117501404,4614
"HIC","Infinite capacity",0.00868003196815248,4605
"HIC","Infinite capacity",0.0042734472283615,2241
"HIC","Infinite capacity",0.00885894000465371,4721
"HIC","Infinite capacity",0.00407429438635826,2137
"HIC","Infinite capacity",0.00615622337702571,3259
"HIC","Infinite capacity",0.00989031937804236,5240
"HIC","Infinite capacity",0.00555460734672204,2929
"HIC","Infinite capacity",0.010100708523744,5413
"HIC","Infinite capacity",0.00893046067347802,4727
"HIC","Infinite capacity",0.00448851254830321,2344
"HIC","Infinite capacity",0.00914525978878715,4846
"HIC","Infinite capacity",0.0132911310255569,7168
"HIC","Infinite capacity",0.00664525355245835,3513
"HIC","Infinite capacity",0.00646851730808715,3434
"HIC","Infinite capacity",0.011104815016373,5938
"HIC","Infinite capacity",0.0138722877543668,7509
"HIC","Infinite capacity",0.00947459733900132,5046
"HIC","Infinite capacity",0.00795903222699953,4215
"HIC","Infinite capacity",0.00918405056035718,4871
"HIC","Infinite capacity",0.00598392011314773,3152
"HIC","Infinite capacity",0.0114287099487023,6129
"HIC","Infinite capacity",0.0123865234327834,6668
"HIC","Infinite capacity",0.0072198546949862,3817
"HIC","Infinite capacity",0.00584227199042987,3067
"HIC","Infinite capacity",0.0134115241676846,7268
